XML-ID,Wikidata ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Brief Description
peJPe,Q97538735,[FREDERIK] JULIUS,PETERSEN,[FREDERIK] JULIUS PETERSEN,1844,1917,1844-1917,dansk skuespiller og teaterdirektør.
peNMP,Q352777,NIELS MATTHIAS,PETERSEN,NIELS MATTHIAS PETERSEN,1791,1862,1791-1862,dansk filolog og historiker.
peOP,,[THEODOR] OTTO [ELIOT],PETERSEN,[THEODOR] OTTO [ELIOT] PETERSEN,1862,1945,1862-1945,"dansk impresario, skuespiller og teaterdirektør."
pePPe,Q7174877,PETER [JOHAN KAY],PETERSEN,PETER [JOHAN KAY] PETERSEN,1821,1896,1821-1896,norsk forretningsmann.
pePPet,Q71459,PETER,PETERSEN,PETER PETERSEN,1835,1894,1835-1894,dansk-norsk fotograf.
peRP,Q28358002,RICHARD,PETERSEN,RICHARD PETERSEN,1821,1908,1821-1908,norsk embetsmann.
peSiP,Q6044800,[PETER] SIEGWART [BLUMENTHAL],PETERSEN,[PETER] SIEGWART [BLUMENTHAL] PETERSEN,1826,1878,1826-1878,"norsk skolemann (Anker 2, 34)."
peSP,Q12336459,SOPHIE,PETERSEN,SOPHIE PETERSEN,1838,1925,1838-1925,norsk kjøpmannshustru.
peVVP,Q2069221,VILHELM [VALDEMAR],PETERSEN,VILHELM [VALDEMAR] PETERSEN,1830,1913,1830-1913,dansk arkitekt.
peWPe,Q97920117,WILLIAM [ANDREAS],PETERSEN,WILLIAM [ANDREAS] PETERSEN,1862,1942,1862-1942,dansk skuespiller og teaterdirektør.
peHGP,,HENRIK GEORG,PETERSEN[-GADE],HENRIK GEORG PETERSEN[-GADE],1853,1922,1853-1922,norsk-amerikansk lege.
peEP,Q739176,[HJALMAR] EILIF [EMANUEL],PETERSSEN,[HJALMAR] EILIF [EMANUEL] PETERSSEN,1852,1928,1852-1928,norsk maler.
peMaP,,MAGDA (Frederikke Magdalene),PETERSSEN,MAGDA (Frederikke Magdalene) PETERSSEN,1855,1931,1855-1931,norsk malerhustru.
peLPe,,LILLI,PETRI,LILLI PETRI,1864,1915,1864-1915,tysk skuespillerinne.
peFvP,,FRIEDRICH,PFEUFER,FRIEDRICH PFEUFER,,,,tysk offiser.
pePf,,fru,PFEUFER,fru PFEUFER,,,,tysk offisershustru.
pePfe,,frøken von,PFEUFFER,frøken von PFEUFFER,,,,"ikke identifisert, jf. kommentar til brevet."
peph,Q54937200,,,P.H.,,,,ikke identifisert.
peFP,Q1403729,FELIX,PHILIPPI,FELIX PHILIPPI,1851,1921,1851-1921,tysk forfatter og regissør.
peGPh,Q18592621,GUSTAV,PHILIPSEN,GUSTAV PHILIPSEN,1853,1925,1853-1925,dansk bokhandler og politiker.
pePGP,Q17341826,PHILIP GERSON,PHILIPSEN,PHILIP GERSON PHILIPSEN,1812,1877,1812-1877,dansk bokhandler og forlegger.
pePJP,,POVEL [JOHANNES] (Johansen),PHØNIXBERG,POVEL [JOHANNES] (Johansen) PHØNIXBERG,1679,1729,1679-1729,"dansk viseforfatter, journalist og boktrykker."
peAuPi,Q769588,AUGUSTO,PIERANTONI,AUGUSTO PIERANTONI,1840,1911,1840-1911,italiensk rettslærd.
peAP,,"prinsesse, f. Adelaide Nathan David",PIGNATELLI,"prinsesse, f. Adelaide Nathan David PIGNATELLI",1796,1891,1796-1891,
peKvP,Q505758,KARL [THEODOR] VON,PILOTY,KARL [THEODOR] VON PILOTY,1826,1886,1826-1886,tysk historiemaler.
peVP,,[JOHAN] VICTORINUS,PINGEL,[JOHAN] VICTORINUS PINGEL,1834,1919,1834-1919,"dansk filolog, geolog og politiker."
peCEP,Q5040087,CARL EDWARD WILHELM,PIPER,CARL EDWARD WILHELM PIPER,1820,1891,1820-1891,svensk envoyé.
peBaP,Q43228466,BALTZAR [BOGISLAUS] VON,PLATEN,BALTZAR [BOGISLAUS] VON PLATEN,1766,1829,1766-1829,svensk offiser og greve.
peCPP,Q347860,CARL [PARMO],PLOUG,CARL [PARMO] PLOUG,1813,1894,1813-1894,"dansk forfatter, journalist og politiker."
peJCPo,,JOSEPH [CALASANZ KARL],POESTION,JOSEPH [CALASANZ KARL] POESTION,1853,1922,1853-1922,"østerriksk bibliotekar, skandinavist og oversetter."
peBPo,,BERNHARD (eg. Baruch Pohl),POLLINI,BERNHARD (eg. Baruch Pohl) POLLINI,1838,1897,1838-1897,"tysk sanger, teater- og operadirektør."
peHPont,Q225554,HENRIK,PONTOPPIDAN,HENRIK PONTOPPIDAN,1857,1943,1857-1943,dansk forfatter.
peAPo,Q4766951,ANNA,POSSART,ANNA POSSART,1875,1946,1875-1946,tysk sangerinne.
peACP,,ANNA CAROLINE,POSSART,ANNA CAROLINE POSSART,1843,1919,1843-1919,tysk sangerinne.
peEPos,,ERNST [HEINRICH],POSSART,ERNST [HEINRICH] POSSART,1841,1921,1841-1921,"tysk skuespiller, regissør og intendant."
peEPo,,[CHRISTIAN] EMIL,POULSEN,[CHRISTIAN] EMIL POULSEN,1842,1911,1842-1911,dansk skuespiller og sceneinstruktør.
peOPo,Q6162433,OLAF [RYE],POULSEN,OLAF [RYE] POULSEN,1849,1923,1849-1923,dansk skuespiller.
peEPr,,EDITH,PRADEZ,EDITH PRADEZ,1836,1894,1836-1894,sveitsisk akvarellmalerinne og forfatterinne.
pePrax,Q105290,,,PRAXITELES,,,,"gresk billedhugger, virksom ca. 370-30 f.Kr. Hans statue av den nakne Afrodite (ca. 350) dannet skole for fremstilling av kultbilder."
peHJP,,HANS JACOB,PREUS,HANS JACOB PREUS,1819,1901,1819-1901,norsk kjøpmann.
peJCP,,JOHAN CASPAR,PREUS,JOHAN CASPAR PREUS,1786,1862,1786-1862,norsk embetsmann.
peHvP,,HERMIONE (Hermine) Freiin VON,PREUSCHEN,HERMIONE (Hermine) Freiin VON PREUSCHEN,1857,1918,1857-1918,tysk malerinne og forfatterinne.
pePrior,Q12324061,LAURITZ [TERPAGER MALLING],PRIOR,LAURITZ [TERPAGER MALLING] PRIOR,1840,1879,1840-1879,dansk billedhugger.
peBP,,BRYNHJOLF,PROM,BRYNHJOLF PROM,1857,,1857-,norsk ingeniør.
peJPr,,JACOB,PROM,JACOB PROM,1831,1865,1831-1865,norsk skuespiller.
peMP,,MORITZ (Maurice),PROZOR,MORITZ (Maurice) PROZOR,1849,1929,1849-1929,litauisk-polsk-russisk diplomat og oversetter.
peMMP,,MÄRTA MARGARETA,PROZOR,MÄRTA MARGARETA PROZOR,1855,1931,1855-1931,svensk diplomathustru (
peREP,Q86152,ROBERT [EDUARD],PRUTZ,ROBERT [EDUARD] PRUTZ,1816,1872,1816-1872,tysk forfatter og litteraturhistoriker.
peDTPT,Q5812003,DIÓSCORO TEÓFILO DE LA,PUEBLA TOLIN,DIÓSCORO TEÓFILO DE LA PUEBLA TOLIN,1832,1901,1832-1901,spansk historie- og portrettmaler.
peFPvCuL,,FERENC,PULSZKY VON CSELFALVA UND LUBÓCZ,FERENC PULSZKY VON CSELFALVA UND LUBÓCZ,1814,1897,1814-1897,ungarsk politiker og forfatter.
peAPr,Q4973605,ALVILDE,PRYDZ,ALVILDE PRYDZ,1846,1922,1846-1922,norsk forfatterinne.
peMQH,,MORTEN,QUIST-HANSSEN,MORTEN QUIST-HANSSEN,1836,1884,1836-1884,norsk kjøpmann.
peOAQ,Q3356502,[OLE] ANTON,QVAM,[OLE] ANTON QVAM,1834,1904,1834-1904,"norsk jurist, embetsmann og politiker."
peFQ,Q1774719,FREDRIKKE [MARIE],QVAM,FREDRIKKE [MARIE] QVAM,1843,1938,1843-1938,norsk kvinnesaksforkjemper.
pePBR,Q94837007,PAUL,RACHÉ,PAUL RACHÉ,1869,1939,1869-1939,"tysk journalist, forfatter og oversetter."
peRaf,,eg.: Rafaello Santi (Sanzio),RAFAEL,eg.: Rafaello Santi (Sanzio) RAFAEL,1483,1520,1483-1520,italiensk maler.
peDR,,DORIS (Dorothea),RAFF,DORIS (Dorothea) RAFF,1826,1902,1826-1902,tysk skuespillerinne.
peHR,Q1602013,HELENE,RAFF,HELENE RAFF,1865,1942,1865-1942,tysk malerinne og forfatterinne.
peGRa,,GYÖRGY,RÁHT,GYÖRGY RÁHT,1828,1905,1828-1905,ungarsk jurist og samler.
peMRa,Q4563402,MINDA [MATHEA OLAVA],RAMM,MINDA [MATHEA OLAVA] RAMM,1859,1924,1859-1924,norsk forfatterinne.
peAlR,Q4711085,ALBERT [ADAM],RANFT,ALBERT [ADAM] RANFT,1858,1938,1858-1938,svensk skuespiller og teaterdirektør.
peAR,,[PAUL] AUGUST,RASMUSSEN,[PAUL] AUGUST RASMUSSEN,1838,1922,1838-1922,dansk teaterdirektør.
peVHvR,,VIKTOR [MORITZ KARL],RATIBOR,VIKTOR [MORITZ KARL] RATIBOR,1818,1893,1818-1893,tysk standsherre og politiker.
peNR,,NIELS [CHRISTIAN THEOBALD],RAVNKILDE,NIELS [CHRISTIAN THEOBALD] RAVNKILDE,1823,1890,1823-1890,dansk komponist og musiker.
peCRay,Q44560006,CATHERINE,RAY,CATHERINE RAY,,,,engelsk forfatterinne.
peMRe,Q55895508,MAXIMILIAN,RECK,MAXIMILIAN RECK,1818,1885,1818-1885,tysk teaterleder.
peEReck,,ERNST [FREDERIK VILHELM] VON DER,RECKE,ERNST [FREDERIK VILHELM] VON DER RECKE,1848,1933,1848-1933,dansk forfatter.
peMRed,,MARIE,REDWITZ,MARIE REDWITZ,1856,1933,1856-1933,tysk forfatterinne.
peORed,,OSKAR,REDWITZ,OSKAR REDWITZ,1823,1891,1823-1891,tysk forfatter.
peIR,Q55902800,IMMANUEL,RÉE,IMMANUEL RÉE,1845,1909,1845-1909,dansk forlagsbokhandler (GEBB 8).
peER,Q15046121,EMIL,REICH,EMIL REICH,1864,1940,1864-1940,østerriksk filosof og folkeopplysningsmann.
peACPR,,A.C.P.,REIERSEN,A.C.P. REIERSEN,,,,"dansk lege (HU 19, 575)."
peReiers,,frøken,REIERSEN,frøken REIERSEN,,,,"søster av A.C.P. Reiersen, jf. kommentar til revet. "
peHCR,,HALVOR C.,REIERSEN,HALVOR C. REIERSEN,1828,1896,1828-1896,norsk skredder.
peJAR,,JENS AARUP,REIMANN,JENS AARUP REIMANN,1805,1873,1805-1873,norsk apoteker.
peFLR,,LOVISE,REIMANN,LOVISE REIMANN,1805,1873,1805-1873,norsk apotekerhustru.
peARei,,[HIERONYMUS] ARNOLDUS,REIMERS,[HIERONYMUS] ARNOLDUS REIMERS,1844,1899,1844-1899,norsk skuespiller.
peGR,Q1505717,GEORG,REIMERS,GEORG REIMERS,1860,1936,1860-1936,tysk skuespiller.
peSR,Q4579644,[PETRA] SOPHIE [ALETTE CHRISTINE],REIMERS,[PETRA] SOPHIE [ALETTE CHRISTINE] REIMERS,1853,1932,1853-1932,norsk skuespillerinne.
peCFR,,CARL FRIEDRICH,REISER,CARL FRIEDRICH REISER,1718,1786,1718-1786,dansk amtskirurg og forfatter.
peGRe,,,,RÉJANE (Gabrielle Charlotte Réju),1856,1920,1856-1920,fransk skuespillerinne.
peERe,Q157155,ERNEST,RENAN,ERNEST RENAN,1823,1892,1823-1892,fransk orientalist og religionshistoriker.
peAHR,,ANNA [WILHELMINA] HIERTA-,RETZIUS,ANNA [WILHELMINA] HIERTA- RETZIUS,1841,1924,1841-1924,svensk filantrop.
peMGRe,Q640991,[MAGNUS] GUSTAF,RETZIUS,[MAGNUS] GUSTAF RETZIUS,1842,1919,1842-1919,svensk anatom og antropolog.
peHaRe,Q574547,HANS [HENRIK],REUSCH,HANS [HENRIK] REUSCH,1852,1922,1852-1922,norsk geolog.
peTRe,Q213855,[ALBERT KARL] THEODOR,REUSS,[ALBERT KARL] THEODOR REUSS,1855,1923,1855-1923,tysk journalist m.m.
peSRi,,SOPHIE [AMALIA],RIBBING,SOPHIE [AMALIA] RIBBING,1835,1894,1835-1894,svensk malerinne.
peECR,Q1081576,[ERNST] CHRISTIAN,RICHARDT,[ERNST] CHRISTIAN RICHARDT,1831,1892,1831-1892,dansk prest og forfatter.
peORi,,OLE [JØRGENSEN],RICHTER,OLE [JØRGENSEN] RICHTER,1829,1888,1829-1888,"norsk jurist, redaktør og politiker."
peHRi,Q947202,HANS,RIDDERVOLD,HANS RIDDERVOLD,1795,1876,1795-1876,norsk geistlig og politiker.
peJRi,Q6071694,JULIUS,RIDDERVOLD,JULIUS RIDDERVOLD,1842,1921,1842-1921,norsk prest.
peHWR,Q77020,WILHELM HEINRICH,RIEHL,WILHELM HEINRICH RIEHL,1823,1897,1823-1897,tysk kulturhistorisk forfatter.
peFRi,,FANNY [EVELINA],RIIS,FANNY [EVELINA] RIIS,1835,1924,1835-1924,"norsk kontorassistent og bibliotekar (F 1875, 1900; Anonym 1924)."
peCRKn,Q23989376,CHRISTEN,RIIS-KNUDSEN,CHRISTEN RIIS-KNUDSEN,1863,1932,1863-1932,dansk dramaturg og teaterdirektør.
peCRi,Q6072649,CHRISTIAN VILHELM,RIMESTAD,CHRISTIAN VILHELM RIMESTAD,1816,1879,1816-1879,dansk politiker og redaktør.
pePRi,Q14437564,PEDER,RINDE,PEDER RINDE,1844,1937,1844-1937,norsk politiker.
peERi,Q5364681,ELLEF,RINGNES,ELLEF RINGNES,1842,1929,1842-1929,norsk bryggerieier og mesen.
peARi,Q354003,ADELAIDE,RISTORI,ADELAIDE RISTORI,1822,1906,1822-1906,italiensk skuespillerinne.
peCaRi,Q29297,CARL,RITTER,CARL RITTER,,,,tysk teateragenturleder.
peENR,,ERIK NICOLAJ,RITZAU,ERIK NICOLAJ RITZAU,1839,1903,1839-1903,dansk telegrambyråeier.
peERo,Q3723416,ELIZABETH,ROBINS,ELIZABETH ROBINS,1862,1952,1862-1952,"amerikansk-britisk skuespillerinne, forfatterinne og kvinnesaksforkjemper."
peHRo,Q301435,HENRYK [HIPOLIT],RODAKOWSKI,HENRYK [HIPOLIT] RODAKOWSKI,1823,1894,1823-1894,polsk portrett- og historiemaler.
peFR,Q11114977,FREDERIK,RODE,FREDERIK RODE,1800,1883,1800-1883,norsk prest.
peGRo,Q80727,GOTFRED [BENJAMIN],RODE,GOTFRED [BENJAMIN] RODE,1830,1878,1830-1878,dansk litteraturhistoriker og pedagog.
peHeRo,Q2703410,HELGE,RODE,HELGE RODE,1870,1937,1870-1937,dansk forfatter.
peORode,Q7113316,OVE,RODE,OVE RODE,1867,1933,1867-1933,dansk journalist og politiker.
peJRo,,JULIUS (til 1855: Julius Levy),RODENBERG,JULIUS (til 1855: Julius Levy) RODENBERG,1831,1914,1831-1914,tysk forfatter og publisist.
peJuR,,JUSTINIA,RODENBERG,JUSTINIA RODENBERG,1837,,1837-,tysk forfatterhustru.
pevR,,VON,ROEPERT,VON ROEPERT,,,,tysk hoffembetsmann.
peNGR,,NIELS GIERTSEN,ROGSTAD,NIELS GIERTSEN ROGSTAD,1854,1908,1854-1908,norsk embetsmann.
peCRo,,[PEDER] CHRISTIAN,ROHDE,[PEDER] CHRISTIAN ROHDE,1851,,1851-,norsk skreddermester.
peFARo,Q4398876,[FERDINAND] AUGUST,ROJAHN,[FERDINAND] AUGUST ROJAHN,1822,1900,1822-1900,"tysk-norsk musikkdirektør, stadsmusikant og organist."
peNRo,Q3132248,[JOHAN] NORDAHL [BRUN],ROLFSEN,[JOHAN] NORDAHL [BRUN] ROLFSEN,1848,1928,1848-1928,"norsk forfatter, lesebokutgiver og skolemann."
peRR,Q47162,ROMAIN,ROLLAND,ROMAIN ROLLAND,1866,1944,1866-1944,fransk forfatter.
peRosa,Q34687,ROSA,,ROSA,,,,ikke identifisert.
peWiRo,Q62842,WILHELM,ROSCHER,WILHELM ROSCHER,1817,1894,1817-1894,tysk nasjonaløkonom.
peCR,,CARL [FREDERIK VILHELM MATHILDUS],ROSENBERG,CARL [FREDERIK VILHELM MATHILDUS] ROSENBERG,1829,1885,1829-1885,dansk litteraturhistoriker.
peKMR,,KNUD [MARIUS],ROSENDAHL,KNUD [MARIUS] ROSENDAHL,1822,1885,1822-1885,norsk skuespiller.
peVJR,Q12341046,VILHELM [JACOB],ROSENSTAND,VILHELM [JACOB] ROSENSTAND,1838,1915,1838-1915,dansk maler.
peCMR,Q13426796,CHRISTIAN MEYER,ROSS,CHRISTIAN MEYER ROSS,1843,1904,1843-1904,norsk maler.
peHMER,Q1582106,HANS [MATTHIAS ELISÆUS],ROSS,HANS [MATTHIAS ELISÆUS] ROSS,1833,1914,1833-1914,norsk språkforsker.
peErR,Q1356814,ERNESTO,ROSSI,ERNESTO ROSSI,1827,1896,1827-1896,italiensk skuespiller.
pePdR,Q673256,PELLEGRINO DE,ROSSI,PELLEGRINO DE ROSSI,1787,1848,1787-1848,italiensk politiker og nasjonaløkonom.
peKR,Q12322891,KRISTEN,ROVSING,KRISTEN ROVSING,1812,1889,1812-1889,dansk skolestyrer.
peMR,Q54147311,MARIE [NICOLINA THEODORA],ROVSING,MARIE [NICOLINA THEODORA] ROVSING,1814,1888,1814-1888,dansk kvinnesaksforkjemper.
peARub,Q2482314,ALBERT,RUBENSON,ALBERT RUBENSON,1826,1901,1826-1901,"svensk komponist, fiolinist og musikkritiker."
peMRu,Q6082174,MAURITZ,RUBENSON,MAURITZ RUBENSON,1836,1899,1836-1899,svensk forfatter og journalist.
peRudd,,GEORGE ALLEN,RUDD,GEORGE ALLEN RUDD,1853,1888,1853-1888,amerikansk maler.
peRu,,JANE STUART,RUDD,JANE STUART RUDD,,,,amerikansk malerhustru.
peJR,Q94738714,JULIE,RUHKOPF,JULIE RUHKOPF,1799,1880,1799-1880,tysk forfatterinne.
peWMR,Q1398812,WALTER [MAGNUS],RUNEBERG,WALTER [MAGNUS] RUNEBERG,1838,1920,1838-1920,finsk billedhugger.
peORus,,OLAV [GEORG MARTINIUS],RUSTEN (fra 1890-årene: RUSTI),OLAV [GEORG MARTINIUS] RUSTEN (fra 1890-årene: RUSTI),1850,1920,1850-1920,norsk tegner og maler.
peVR,Q432129,[ABRAHAM] VIKTOR,RYDBERG,[ABRAHAM] VIKTOR RYDBERG,1828,1895,1828-1895,svensk dikter.
peWiR,Q38151630,[JULIUS] WILHELM,RYDBERG,[JULIUS] WILHELM RYDBERG,1850,1915,1850-1915,svensk skuespiller og teaterdirektør.
peMRy,Q4571458,[NILS] MATHIAS,RYE,[NILS] MATHIAS RYE,1824,1905,1824-1905,norsk embetsmann.
peRye,,FRØKEN,RYE,FRØKEN RYE,,,,"ikke identifisert, sannsynligvis norsk."
peEvald,Q1379615,EVALD,RYGH,EVALD RYGH,1842,1913,1842-1913,norsk embetsmann og politiker.
peORy,Q1345868,OLUF,RYGH,OLUF RYGH,1833,1899,1833-1899,"norsk historiker, arkeolog og navnegransker."
peJHRo,Q88774613,JOHAN HERMAN,RÖSSING,JOHAN HERMAN RÖSSING,1847,1918,1847-1918,nederlandsk journalist og teaterkritiker (Laan 1952).
peARS,,ANNA (Johanna Cornelia Sophia),RÖSSING-SABLAIROLLES,ANNA (Johanna Cornelia Sophia) RÖSSING-SABLAIROLLES,1861,1945,1861-1945,nederlandsk skuespillerinne.
peUgS,,UGO,SACCENTI,UGO SACCENTI,,,,italiensk teatermann.
peFTSa,,FREDERIK THEOCAR,SALICATH,FREDERIK THEOCAR SALICATH,1847,1911,1847-1911,norsk embetsmann (Sommerfeldt 1954).
peOSa,,OSKAR,SALICATH,OSKAR SALICATH,1844,1890,1844-1890,norsk grosserer.
peIS,Q6077069,ISAAC,SALMONSEN,ISAAC SALMONSEN,1846,1910,1846-1910,dansk bokhandler.
peMSa,,MARTIN,SALOMONSEN,MARTIN SALOMONSEN,1814,1889,1814-1889,"dansk lege (DBL; K&E 1, 312)."
peSand,Q3816,GEORGE,SAND,GEORGE SAND,1804,1876,1804-1876,fransk forfatterinne.
peJeSa,,JENNY (BJØRNSON),SANDBERG,JENNY (BJØRNSON) SANDBERG,1846,1914,1846-1914,norsk pensjonatvertinne.
peJES,Q954705,[JOHAN] ERNST [WELHAVEN],SARS,[JOHAN] ERNST [WELHAVEN] SARS,1835,1917,1835-1917,norsk historiker.
peOSar,Q658307,GEORG OSSIAN,SARS,GEORG OSSIAN SARS,1837,1927,1837-1927,norsk zoolog.
peTdS,Q19838980,THEODORE DE,SAUSSURE,THEODORE DE SAUSSURE,1824,1903,1824-1903,sveitsisk forfatter og amatørmaler.
peASa,Q2831539,ALBERT,SAVINE,ALBERT SAVINE,1859,1927,1859-1927,"fransk kritiker, oversetter og forlegger."
peJeBS,Q13513,JEAN BAPTISTE,SAY,JEAN BAPTISTE SAY,1767,1832,1767-1832,fransk nasjonaløkonom.
peBHWS,Q64499053,BERENT [HENRIK WILHELM],SCHANCHE,BERENT [HENRIK WILHELM] SCHANCHE,1856,1918,1856-1918,norsk skuespiller.
peSS,Q321499,SOPHUS [CHRISTIAN FREDERIK],SCHANDORPH,SOPHUS [CHRISTIAN FREDERIK] SCHANDORPH,1836,1901,1836-1901,dansk forfatter.
peJSch,Q6096372,JOHAN,SCHARFFENBERG,JOHAN SCHARFFENBERG,1869,1965,1869-1965,"norsk lege, publisist og sosialpolitiker."
peCHSch,Q1528393,[CARL] HENRIK,SCHARLING,[CARL] HENRIK SCHARLING,1836,1920,1836-1920,"dansk teolog og forfatter (K&E 1, 320)."
peVS,,[JOSEPH] VICTOR [VON],SCHEFFELL,[JOSEPH] VICTOR [VON] SCHEFFELL,1826,1886,1826-1886,tysk forfatter.
peWHo,,WILHELMINE HOLMBOE («Wielma Lhombino»),SCHENSTRØM,WILHELMINE HOLMBOE («Wielma Lhombino») SCHENSTRØM,1842,1939,1842-1939,norsk sangerinne.
peGSche,,GEORG [SOPHUS FREDERIK],SCHEPELERN,GEORG [SOPHUS FREDERIK] SCHEPELERN,1839,1900,1839-1900,dansk prest.
peDSchee,,LUDWIG S.,SCHEEFFER,LUDWIG S. SCHEEFFER,1859,1885,1859-1885,tysk matematiker.
peWSch,Q112136,WILHELM,SCHERER,WILHELM SCHERER,1841,1886,1841-1886,tysk språk- og litteraturhistoriker.
peCFvS,Q99576,CHRISTOPH GOTTLIEB ADOLF FREIHERR VON,SCHEURL,CHRISTOPH GOTTLIEB ADOLF FREIHERR VON SCHEURL,1811,1893,1811-1893,tysk rettslærd.
peASch,Q4739832,AMANDUS [THEODOR],SCHIBSTED,AMANDUS [THEODOR] SCHIBSTED,1849,1913,1849-1913,norsk journalist og aviseier.
pePCS,Q21714724,[PETER] CHRISTIAN,SCHIERBECK,[PETER] CHRISTIAN SCHIERBECK,1835,1865,1835-1865,dansk billedhugger.
peFSch,Q22670,[JOHANN CHRISTOPH] FRIEDRICH VON,SCHILLER,[JOHANN CHRISTOPH] FRIEDRICH VON SCHILLER,1759,1805,1759-1805,tysk forfatter.
peASchi,Q364118,ADOLF,SCHIRMER,ADOLF SCHIRMER,1850,1930,1850-1930,norsk arkitekt.
peElSc,,ELSE,SCHIRMER,ELSE SCHIRMER,,,,bosatt i München. Sommergjest i Gossensass.
peOES,Q3372656,OSKAR EMIL,SCHIØTZ,OSKAR EMIL SCHIØTZ,1846,1925,1846-1925,norsk fysiker.
peMSc,Q6787268,MATHILDE,SCHJØTT,MATHILDE SCHJØTT,1844,1926,1844-1926,"norsk forfatterinne, litteraturkritiker og kvinnesaksforkjemper."
peESchl,Q465361,EDUARD,SCHLEICH,EDUARD SCHLEICH,1812,1874,1812-1874,tysk landskapsmaler.
pePS,Q194574,PAUL,SCHLENTHER,PAUL SCHLENTHER,1854,1916,1854-1916,tysk kritiker og teaterleder.
peSchl,,fru,SCHLESINGER,fru SCHLESINGER,,,,ikke identifisert.
peHS,,HANS,SCHLYTTER,HANS SCHLYTTER,1823,1903,1823-1903,norsk hoffembetsmann.
peAdSch,Q95749881,ADELHEID,SCHMIDT,ADELHEID SCHMIDT,,,,"datter av Oswald Schmidt i München (HU 19, 309). "
peAuSc,Q89677,AUGUSTE,SCHMIDT,AUGUSTE SCHMIDT,1844,1908,1844-1908,tysk forfatterhustru.
peEASc,,EMILIE AMALIA,SCHMIDT,EMILIE AMALIA SCHMIDT,1846,1904,1846-1904,dansk forfatterhustru.
peErSc,,[FRANZ] ERICH,SCHMIDT,[FRANZ] ERICH SCHMIDT,1853,1913,1853-1913,tysk litteraturhistoriker.
peSchm,Q106716300,herr,SCHMIDT,herr SCHMIDT,,,,"sønn av Oswald Schmidt i München, ror av Adelheid Schmidt. "
peLHS,,LUDWIG HEINRICH,SCHMIDT,LUDWIG HEINRICH SCHMIDT,,,,tysk lærebokforfatter.
peMSch,,MAXIMILIAN (fra 1898 arvelig æresnavn: Waldschmidt),SCHMIDT,MAXIMILIAN (fra 1898 arvelig æresnavn: Waldschmidt) SCHMIDT,1832,1919,1832-1919,tysk forteller og dramatiker.
peOSch,Q16404185,OSWALD,SCHMIDT,OSWALD SCHMIDT,1853,,1853-,"tysk lege og litterat (Anker 2, 69; L. Dietrichson 1896-1917, b. 1, 357)."
peRS,Q26132687,[PETER CARL] RUDOLPH,SCHMIDT,[PETER CARL] RUDOLPH SCHMIDT,1836,1899,1836-1899,dansk forfatter.
peRSC,Q42529442,RIA,SCHMUJLOW-CLAASSEN,RIA SCHMUJLOW-CLAASSEN,1868,1952,1868-1952,tysk skuespillerinne og kritiker.
peMS,,MARTIN,SCHNEEKLOTH,MARTIN SCHNEEKLOTH,1844,1871,1844-1871,dansk student.
peASchnei,Q4820812,[GERHARD] AUGUST,SCHNEIDER,[GERHARD] AUGUST SCHNEIDER,1842,1873,1842-1873,"norsk maler, folkeminnesamler og illustratør."
peBS,Q16310890,BALTHAZAR,SCHNITLER,BALTHAZAR SCHNITLER,1862,1913,1862-1913,norsk forfatter (Sommerfeldt 1954).
peDJTS,,DIDERIK THOMAS JOHANNES,SCHNITLER,DIDERIK THOMAS JOHANNES SCHNITLER,1833,1888,1833-1888,norsk offiser.
peLASc,Q6699069,LUDVIG ABELIN,SCHOU,LUDVIG ABELIN SCHOU,1838,1867,1838-1867,dansk maler.
peOSc,Q13422470,OLAF [FREDRIK],SCHOU,OLAF [FREDRIK] SCHOU,1861,1925,1861-1925,norsk kunstsamler og mesen.
peChS,,[EDELE] CHRISTIANE [MARGRETA],SCHREIBER,[EDELE] CHRISTIANE [MARGRETA] SCHREIBER,1822,1898,1822-1898,norsk malerinne.
peESch,Q205904,EMIL [THEODOR],SCHREINER,EMIL [THEODOR] SCHREINER,1831,1910,1831-1910,norsk klassiskfilolog og skolemann.
peThSch,,THOMAS [WIBORG],SCHREINER,THOMAS [WIBORG] SCHREINER,1880,,1880-,norsk-amerikaner (F 1900).
peHSch,Q63301561,HANS [FREDERIK LUDVIG],SCHRØDER,HANS [FREDERIK LUDVIG] SCHRØDER,1836,1902,1836-1902,norsk skolemann og teatersjef.
peLPS,Q12299869,LUDVIG [PETER],SCHRØDER,LUDVIG [PETER] SCHRØDER,1836,1908,1836-1908,dansk høyskolebestyrer.
peRiSch,,RICHARD [MARTIN],SCHRØDER,RICHARD [MARTIN] SCHRØDER,1840,1901,1840-1901,dansk dramatisk forfatter og oversetter.
peFKS,Q16721062,FRIEDRICH KARL,SCHUBERT,FRIEDRICH KARL SCHUBERT,1832,1892,1832-1892,"tysk offiser, journalist og forfatter."
peOS,,OLE CARELIUS,SCHULERUD,OLE CARELIUS SCHULERUD,1827,1859,1827-1859,norsk sakfører.
pePSch,,PETER,SCHULERUD,PETER SCHULERUD,1795,1856,1795-1856,norsk overtollbetjent.
peCFS,Q12305944,CHRISTIAN FREDERIK,SCHWARTZKOPF,CHRISTIAN FREDERIK SCHWARTZKOPF,1817,1893,1817-1893,dansk embetsmann.
