XML-ID,Wikidata ID,Given Name,Surname,Name,Year of Birth,Year of Death,Lifespan,Brief Description
peCoKr,,CONRAD,KROEPELIEN,CONRAD KROEPELIEN,1865,1925,1865-1925,norsk kjøpmann.
peGiKr,,GINA [SVERDRUP],KROG,GINA [SVERDRUP] KROG,1847,1916,1847-1916,norsk kvinnesaksforkjemper.
peKrogh,Q42310506,[BERNHARD] WILHELM [GUSTAV VON],KROGH,[BERNHARD] WILHELM [GUSTAV VON] KROGH,1827,1913,1827-1913,norsk dekorasjonsmaler og teatermaler.
peCK,Q334200,CHRISTIAN,KROHG,CHRISTIAN KROHG,1852,1925,1852-1925,norsk maler og forfatter.
peGAK,Q3434185,GEORG [ANTON],KROHG,GEORG [ANTON] KROHG,1817,1873,1817-1873,norsk jurist og litterat.
peGHK,Q5535712,GEORG [HERMAN],KROHN,GEORG [HERMAN] KROHN,1831,1870,1831-1870,norsk skuespiller og teaterleder.
pePKK,Q1253832,PIETRO [KØBKE],KROHN,PIETRO [KØBKE] KROHN,1840,1905,1840-1905,"dansk tegner, maler og illustratør."
peSK,,SOPHIE,KROHN,SOPHIE KROHN,1826,1892,1826-1892,tremenning av Henrik Ibsen.
peJKr,Q1604937,[JOHAN] JULIUS [FERDINAND],KRONBERG,[JOHAN] JULIUS [FERDINAND] KRONBERG,1850,1921,1850-1921,svensk maler.
pePaAW,,PAULINE,KRONBERG,PAULINE KRONBERG,,,,
peAxK,,AXEL [JOHAN ERIK],KROOK,AXEL [JOHAN ERIK] KROOK,1831,1893,1831-1893,svensk journalist og forfatter.
peCKu,Q323521,CARL,KUNDMAN,CARL KUNDMAN,1838,1919,1838-1919,østerriksk billedhugger.
peJKu,Q106871164,JAKOB,KURZ,JAKOB KURZ,,,,"tysk bergmann, ikke identifisert."
peLeLa,Q5929776,LEONARD,LABATT,LEONARD LABATT,1838,1897,1838-1897,svensk operasanger.
peCo,Q20997124,,LA COUR,LA COUR,,,,"teatermann, ikke identifisert."
peJCo,Q3162112,JANUS [ANDREAS BARTHOLIN],LA COUR,JANUS [ANDREAS BARTHOLIN] LA COUR,1837,1909,1837-1909,dansk landskapsmaler.
peAlLa,Q188697,ALPHONSE DE,LAMARTINE,ALPHONSE DE LAMARTINE,1790,1869,1790-1869,fransk dikter og politiker.
peMDEL,Q4577892,MORTEN [DIDERIK EMIL],LAMBRECHTS,MORTEN [DIDERIK EMIL] LAMBRECHTS,1824,1900,1824-1900,norsk jurist og politiker.
peTAL,Q166613,THORVALD [AMUND],LAMMERS,THORVALD [AMUND] LAMMERS,1841,1922,1841-1922,"norsk sanger, kordirigent og komponist."
peCoLa,,CONRAD,LANDEGREN,CONRAD LANDEGREN,1834,,1834-,svensk teaterdirektør (Händel 1996).
peMaLa,Q586227,MAGNUS [BROSTRUP],LANDSTAD,MAGNUS [BROSTRUP] LANDSTAD,1802,1880,1802-1880,"norsk prest, salmedikter og folkevisesamler."
peCLa,Q1853467,CHRISTIAN CHRISTOPH ANDREAS,LANGE,CHRISTIAN CHRISTOPH ANDREAS LANGE,1810,1861,1810-1861,norsk historiker.
peInL,,INA [BLENDA AUGUSTA],LANGE,INA [BLENDA AUGUSTA] LANGE,1846,1930,1846-1930,finsk forfatterinne.
peJHL,Q321516,JULIUS [HENRIK],LANGE,JULIUS [HENRIK] LANGE,1838,1896,1838-1896,dansk kunsthistoriker og humanist.
peSvLa,Q5934715,SVEN,LANGE,SVEN LANGE,1868,1930,1868-1930,dansk forfatter.
peWL,Q107431972,WILHELM,LANGE,WILHELM LANGE,1849,1907,1849-1907,tysk litterat.
pePELM,Q1389552,PETER ERASMUS,LANGE-MÜLLER,PETER ERASMUS LANGE-MÜLLER,1850,1926,1850-1926,dansk komponist.
peALan,Q70927,ALBERT,LANGEN,ALBERT LANGEN,1869,1909,1869-1909,tysk forlegger.
peKCL,,[KNUD] CHRISTIAN,LANGAARD,[KNUD] CHRISTIAN LANGAARD,1849,1922,1849-1922,norsk forretningsmann og kunstsamler.
peLanz,,JOHANN TRAUGOTT,LANZKY,JOHANN TRAUGOTT LANZKY,1789,1858,1789-1858,dansk musiker.
peRoL,Q2166450,ROSA,LANZLOTT,ROSA LANZLOTT,1834,1923,1834-1923,tysk skuespillerinne (DBI 3. utg.).
peSLa,,SOPHUS [EDMÉ CONRAD],LARPENT,SOPHUS [EDMÉ CONRAD] LARPENT,1838,1911,1838-1911,norsk kunstsamler og mesen.
peAdoL,Q365448,ADOLPH,L’ARRONGE,ADOLPH L’ARRONGE,1838,1908,1838-1908,tysk teaterforfatter og teaterdirektør.
peLar,Q13099004,,LARSEN,LARSEN,,,,ikke identifisert.
peAnL,,ANTON [LAURENTIUS],LARSEN,ANTON [LAURENTIUS] LARSEN,1827,1888,1827-1888,norsk publisist.
peAuLa,,AUGUST [GOTTLIEB],LARSEN,AUGUST [GOTTLIEB] LARSEN,1843,1906,1843-1906,dansk bokhandler.
peEdLa,,EDVARD/EDWARD,LARSEN/LARSSEN,EDVARD/EDWARD LARSEN/LARSSEN,1840,1898,1840-1898,"norsk journalist, fotograf, forfatter m.m."
peHeLa,,HERTHA [VILHELMINE PETREA THEODORA],LARSEN,HERTHA [VILHELMINE PETREA THEODORA] LARSEN,1857,1920,1857-1920,dansk bokhandlerhustru.
peKL,,KARL [HALFDAN EDUARD],LARSEN,KARL [HALFDAN EDUARD] LARSEN,1860,1931,1860-1931,dansk forfatter.
peMiL,,MIMI (Mathilde Minona Marie),LARSEN,MIMI (Mathilde Minona Marie) LARSEN,1851,1932,1851-1932,dansk malerinne.
peNJL,Q5936456,NIELS JAKOB,LARSEN,NIELS JAKOB LARSEN,1845,1928,1845-1928,dansk politiker og journalist.
peFLas,Q75784,FERDINAND,LASSALLE,FERDINAND LASSALLE,1825,1864,1825-1864,tysk filosof og politiker.
peHL,Q5675368,HARTVIG [MARCUS],LASSEN,HARTVIG [MARCUS] LASSEN,1824,1897,1824-1897,norsk litteraturhistoriker og skolemann.
peHLa,Q77470,HEINRICH,LAUBE,HEINRICH LAUBE,1806,1884,1806-1884,tysk forfatter og teaterleder.
peSL,Q55843144,SIGMUND,LAUTENBURG,SIGMUND LAUTENBURG,1852,1918,1852-1918,ungarsk-tysk skuespiller og teaterleder.
peDL,,DORE (Dorotheus Olivarius),LAVIK,DORE (Dorotheus Olivarius) LAVIK,1863,1908,1863-1908,norsk skuespiller og teaterleder.
peWML,Q55065142,WILLIAM M.,LAWRENCE,WILLIAM M. LAWRENCE,1846,1910,1846-1910,amerikansk skolemann.
peBL,Q1160355,BÉLA,LÁZÁR,BÉLA LÁZÁR,1869,1950,1869-1950,ungarsk forfatter.
peMLaz,Q544428,MORITZ,LAZARUS,MORITZ LAZARUS,1824,1903,1824-1903,tysk filosof.
peMLea,Q57156818,MARION,LEA,MARION LEA,1861,1944,1861-1944,"amerikansk skuespillerinne (Kane [2007], 5)."
