Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
B18740916FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-09-16,KRISTIANIA,Kri,peJH,,"'orgGyl, orgKT'",,"'N, Kbh'","'Norge, København'",,"'woPG, woF2'"
B18740921LD,peHI,HENRIK IBSEN,peLD,LORENTZ DIETRICHSON,1874-09-21,KRISTIANIA,Kri,"'peWHo, peJMD, peHoDi'",,,,"'Sthlm, Dre'","'Stockholm, Dresden'",,
B18740921ThK,peHI,HENRIK IBSEN,peThK,THEODOR KJERULF,1874-09-21,KRISTIANIA,Kri,,,,,,,,
Budat187409VVo,peHI,HENRIK IBSEN,peVVo,VOLRATH VOGT,1874-09,KRISTIANIA,Kri,,,,,,,,
B18741007AuLa,peHI,HENRIK IBSEN,peAuLa,AUGUST LARSEN,1874-10-07,DRESDEN,Dre,peJH,,,,,,,woBryl
B18741008FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-10-08,DRESDEN,Dre,peAuLa,,orgChrTh,,,,,"'woF2, woKG, woPG'"
B18741013FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-10-13,DRESDEN,Dre,,,,,"'SE, Dk, N'","'Danmarks, Norge'",,woF2
B18741022FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-10-22,DRESDEN,Dre,peJH,,,,"'Kri, N'",Norges,,"'woF2, woDi'"
B18741023PB,peHI,HENRIK IBSEN,pePB,PETER BLYTT,1874-10-23,DRESDEN,Dre,peCEB,,orgGyl,,"'N, Berg, Kri, Dre, Kbh'","'Norge, Bergen, Kristiania, Dresden, København'",,woF2
B18741111PB,peHI,HENRIK IBSEN,pePB,PETER BLYTT,1874-11-11,DRESDEN,Dre,,,,,"'Berg, Kri, Dre'","'Bergen, Kristiania, Dresden'",,
B18741113SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1874-11-13,DRESDEN,Dre,"'peSiI, peTK, peMTh, peHB, peEHol, peEPr, peCALe'",,orgChrTh,,"'Berg, Kri, Kalu, Kbh'","'Bergen, Kristiania, Kallundborg, København'",,woDi
B18741115SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1874-11-15,DRESDEN,Dre,"'peMTh, peSiI, peTK, peMT'",,,,"'Dre, Kbh, N'","'Dresden, København, Norge'",,
B18741121JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1874-11-21,DRESDEN,Dre,"'peMTh, peMT, peSuI, peTK, peFH, peSiI, peDFa, peCF'",,,,"'Kbh, Dre, Tel, N'","'København, Dresden, Thelemarken, Norge'",,"'woUF, woF2, woDi'"
B18741123FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-11-23,DRESDEN,Dre,"'peSuI, peMTh, peGB'",,,,Kbh,København,,"'woUF, woF2, woDi, woC1, woC2'"
B18741201GotT,peHI,HENRIK IBSEN,orgGotT,"STORA TEATERN, GÖTEBORG",1874-12-01,DRESDEN,Dre,,,,,Got,Götheborg,,woF2
B18741201KT,peHI,HENRIK IBSEN,orgKT,DET KONGELIGE THEATER I KØBENHAVN,1874-12-01,DRESDEN,Dre,,,,,,,,woF2
B18741201ChrTh,peHI,HENRIK IBSEN,orgChrTh,CHRISTIANIA THEATER,1874-12-01,DRESDEN,Dre,peLG,,,,Kri,Kristiania,,"'woF2, woPG'"
B18741201EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1874-12-01,DRESDEN,Dre,,,orgKDTS,,,,,woF2
B18741202FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-12-01,DRESDEN,Dre,"'pePFSt, peOS, peRSch, peJHT'",,,,Kri,Kristiania,,"'woF2, woDi, woC1, woPG'"
B18741230FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-12-30,DRESDEN,Dre,peAuLa,,,,"'Kbh, Kri'","'københavnske, Kristiania'",,"'woF2, woKG, woC2'"
Budat187412EBr,peHI,HENRIK IBSEN,peEBr,EDVARD BRANDES,1874-12,DRESDEN,Dre,,,,,Suez,Suez,,
