Number,Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
2134,B18990407AFG,peHI,HENRIK IBSEN,peAFG,FREDRIK GRØN,1899-04-07,KRISTIANIA,Kri,,,,,,,"'Herr doktor A. F. Grøn,, Victoria Terrasse 1., hersteds.'",
2135,B18990409AAn,peHI,HENRIK IBSEN,peAAn,AXEL ANDERSEN,1899-04-09,KRISTIANIA,Kri,,,,,,,,
2136,Budat18990413AFG,peHI,HENRIK IBSEN,peAFG,FREDRIK GRØN,1899-04-13,KRISTIANIA,Kri,,,,,,,"'Herr Doktor A. F. Grøn, Ridder af St.\xa0Olafs ord. Dbg.\xa0p.\n                        p., Victoria Terrasse 1,, hersteds.'",
2137,B18990416EBr,peHI,HENRIK IBSEN,peEBr,EDVARD BRANDES,1899-04-16,KRISTIANIA,Kri,,,,,,,,
2138,B18990417RFi,peHI,HENRIK IBSEN,peRFi,ROSA FITINGHOFF,1899-04-17,KRISTIANIA,Kri,,,,,,,"'Frøken Rosa Fitinghoff,, Karlavägen 42,, Stockholm.'",
2139,B18990501JBC,peHI,HENRIK IBSEN,peJBC,JENNY BLICHER-CLAUSEN,1899-05-01,[KRISTIANIA],Kri,,,,,,,,
2140,B18990511KT,peHI,HENRIK IBSEN,orgKT,DET KONGELIGE THEATER I KØBENHAVN,1899-05-11,KRISTIANIA,Kri,,,,,,,,
2141,B18990514SR,peHI,HENRIK IBSEN,peSR,SOPHIE REIMERS,1899-05-14,KRISTIANIA,Kri,peARei,,,,,,"'Skuespillerinde frøken Sofie Reimers,, Kristiania.'",
2142,B18990527JLu,peHI,HENRIK IBSEN,peJLu,JOHN LUND,1899-05-27,KRISTIANIA,Kri,,,,,,,,
2143,Budat18990603MT,peHI,HENRIK IBSEN,peMT,MAGDALENE THORESEN,1899-06-03,KRISTIANIA,Kri,,,,,,,,
2144,B18990604AMu,peHI,HENRIK IBSEN,peAMu,AMALIE MUNCH,1899-06-04,KRISTIANIA,Kri,peMT,,,,,,"'Fru professorinde Amalia Munc, ,, Frederiksberg Allée 10,, København.'",
2145,B18990607NVo,peHI,HENRIK IBSEN,peNVo,NILS VOGT,1899-06-07,KRISTIANIA,Kri,,,,,,,"'Herr redaktør Nils Vogt,, «Morgenbladet», hersteds.'",
2146,B18990610ChrTh,peHI,HENRIK IBSEN,orgChrTh,CHRISTIANIA THEATER,1899-06-10,KRISTIANIA,Kri,,,,,,,"'Til Christiania Theaters Direktion,, hersteds.'",
2147,B18990702NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1899-07-02,KRISTIANIA,Kri,,,,,,,,
