Number,Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,Mentioned_Person_ID,Mentioned_Person,Mentioned_Org_ID,Mentioned_Org,Mentioned_Places_Abbr,Mentioned_Places,Recipient_Adress,Mentioned_Works_IDs
543,B18750826JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-08-26,"KITZBÜCHEL, TYROL",Kitz,"'peNL, peFH, peJLo, peJKSH, peSiI, peTK, peSuI'",,,,"'Ty, Mun, Kri, Tel'","'Tyroler-alperne, München, Kristiania, Telemarken'",,
544,B18750916GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-09-16,"KITZBÜCHEL, TYROL",Kitz,peSuI,,,,Mun,München,,"'woSS, woEt_Ri'"
545,B18750918JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-09-18,"KITZBÜCHEL, TYROL",Kitz,peMAT,,,,Mun,München,,
546,B18751019ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1875-10-19,MÜNCHEN,Mun,"'peHJJ, peFH, peJHT'",,,,,,,"'woHH, woF2'"
547,B18751023FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-10-23,MÜNCHEN,Mun,,,orgChrTh,,,,,"'woPG, woSS, woUF, woDi'"
548,B18751025NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1875-10-25,MÜNCHEN,Mun,"'peSiI, pePCA, pePeSi'",,,,,,,
549,B18751030EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-10-30,MÜNCHEN,Mun,,,,,,,,
550,B18751101EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-11-01,MÜNCHEN,Mun,"'peEStj, peJWe, peGF, peGA'",,orgKDTS,,,,,woHH
551,B18751104NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1875-11-04,MÜNCHEN,Mun,,,,,,,,
552,B18751125FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-11-25,MÜNCHEN,Mun,"'peGBe, peHJP, peNL, peEStj'",,orgKT,,"'Kri, Kris, Kbh, Sthlm'","'Kristiania, Kristiansand, København, Stockholm'",,"'woHH, woKE, woUF, woPG'"
553,B18751203EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1875-12-03,MÜNCHEN,Mun,"'peEStj, peAWi'",,orgKDTS,,"'D, Sthlm, Wien'","'Tyskland, Stockholm, Wien'",,"'woHH, woKE'"
554,B18751204CHo,peHI,HENRIK IBSEN,peCHo,CHRISTIAN HOLST,1875-12-04,MÜNCHEN,Mun,peEMo,,,,,,,
555,B18751210FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-12-10,MÜNCHEN,Mun,peGBe,,orgKT,,Mun,München,,"'woSS, woHH, woKE, woBr'"
556,B18751220NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1875-12-20,MÜNCHEN,Mun,"'pePeSi, peASL'",,orgDagbl,,"'Pa, Berl'","'Paris, Berlin'",,
557,B18751229EP,peHI,HENRIK IBSEN,peEP,EILIF PETERSSEN,1875-12-29,MÜNCHEN,Mun,,,,,,,,
558,B18751231FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-12-31,MÜNCHEN,Mun,"'peSuI, peSiI'",,,,D,Tyskland,,
559,B18760122HL,peHI,HENRIK IBSEN,peHL,HARTVIG LASSEN,1876-01-22,MÜNCHEN,Mun,"'peNL, peBB'",,orgChrTh,,Navneregsiter_HISe#plKri,Kristiania,,"'woPG, woSS, woHH, woKE, woUF, woKK'"
560,B18760125NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1876-01-25,MÜNCHEN,Mun,"'peCCG, peHL, peHJP, peASL, peST'",,orgChrTh,,"'Kris, Lon'","'Kristiansand, London'",,"'woPG, woSS, woKG, woHH, woKE'"
561,B18760126ASL,peHI,HENRIK IBSEN,peASL,ALFRED SINDING-LARSEN,1876-01-26,MÜNCHEN,Mun,"'peNL, peKM, peEP, peOSi, peMG, peORus, peJEk, peST'",,,,Lon,London,"'Herr cand: jur: Alfred Larsen., Josefinegade, hjørnet af Pilestrædet., Christiania., (Norwegen.)'","'woSS, woHH, woKE, woKG'"
562,B18760127EStj,peHI,HENRIK IBSEN,peEStj,EDVARD STJERNSTRÖM,1876-01-27,MÜNCHEN,Mun,peLStj,,,,"'Kri, Kbh, Sthlm'","'Kristiania, København, Stockholm'",,"'woHH, woKE, woSS'"
563,B18760205FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1876-02-05,MÜNCHEN,Mun,"'peEStj, peHD'",,,,,,,"'woKG, woHH, woSS'"
564,B18760205EStj,peHI,HENRIK IBSEN,peEStj,EDVARD STJERNSTRÖM,1876-02-05,MÜNCHEN,Mun,"'peFH, peLStj'",,,,Sthlm,Stockholm,,woHH
565,B18760206JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1876-02-06,MÜNCHEN,Mun,"'peMAT, peSuI, peTK, peSiI'",,,,"'Tel, Sthlm, Ty'","'Telemarken, Stockholm, Tyrol'",,"'woSS, woKE, woHH'"
566,B18760220NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1876-02-20,MÜNCHEN,Mun,"'peHL, peHJP'",,,,Kris,Kristiansand,,woPG
567,B18760221HL,peHI,HENRIK IBSEN,peHL,HARTVIG LASSEN,1876-02-21,MÜNCHEN,Mun,"'peBB, pePLi'",,orgChrTh,,"'N, Kbh, Sthlm, D'","'Norge, København, Stockholm, Tyskland'",,"'woPG, woHH'"
568,B18760226AR,peHI,HENRIK IBSEN,peAR,AUGUST RASMUSSEN,1876-02-26,MÜNCHEN,Mun,,,,,,,,"'woHH, woSS'"
569,B18760305LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1876-03-05,MÜNCHEN,Mun,"'peFGran, peSuI'",,orgChrTh,,,,,"'woPG, woHH'"
570,Budat18760314JR,peHI,HENRIK IBSEN,peJR,JULIE RUHKOPF,1876-03-14,MÜNCHEN,Mun,peSuI,,,,D,Tyskland,,woSS
571,B18760325TA,peHI,HENRIK IBSEN,peTA,THEODOR ACKERMANN,1876-03-25,MÜNCHEN,Mun,,,,,,,,woHH
572,B18760327NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1876-03-27,MÜNCHEN,Mun,,,,,War,Warschau,,"'woPG, woHH, woDi, woBall'"
573,B18760330EGr,peHI,HENRIK IBSEN,peEGr,EDVARD GRIEG,1876-03-30,MÜNCHEN,Mun,,,orgChrTh,,"'Sthlm, Mun, Ty'","'Stockholm, München, Tyrol'",,woPG
574,Budat187603EP,peHI,HENRIK IBSEN,peEP,EILIF PETERSSEN,1876-03,MÜNCHEN,Mun,"'peJKr, peOBull'",,,,,,,
575,B18760411FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1876-04-11,MÜNCHEN,Mun,,,,,,,,"'woPG, woHH'"
576,Budat18760411NN_Igaar,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1876-04-11,MÜNCHEN,Mun,,,,,,,,woHH
577,B18760424ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1876-04-24,MÜNCHEN,Mun,,,orgStort,,,,,
578,B18760428BurgT,peHI,HENRIK IBSEN,orgBurg,BURGTHEATER,1876-04-28,MÜNCHEN,Mun,,,,,,,,woHH
579,Budat187604JLo,peHI,HENRIK IBSEN,peJLo,JAKOB LØKKE,1876-04,MÜNCHEN,Mun,peLu2,,,,,,,
580,B18760508JSt,peHI,HENRIK IBSEN,peJSt,PAUL STUB,1876-05-08,MÜNCHEN,Mun,,,,,,,,
581,B18760516CCG,peHI,HENRIK IBSEN,peCCG,CHRISTIAN GIEBELHAUSEN,1876-05-16,MÜNCHEN,Mun,"'peEGr, peLJ, peHL'",,orgChrTh,,,,,woPG
582,B18760530FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1876-05-30,MÜNCHEN,Mun,"'peGeorgII, peEStj, peSuI, peHD'",,,,"'Berl, Mun'","'Berlin, München'",,woKE
583,B18760614LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1876-06-14,MÜNCHEN,Mun,"'peKAWi, peFGran, peRWag, peGeorgII, peCWo, peSuI'",,"'orgChrTh, orgBurg'",,"'Bayr, Mei, Schw, Wien, Mun'","'Bayreuth, Meiningen, Schwerin, München'",,"'woKE, woHH'"
584,B18760624FvD,peHI,HENRIK IBSEN,peFvD,FRANZ DINGELSTEDT,1876-06-24,MÜNCHEN,Mun,,,orgBurg,,Wien,Wien,,
585,B18760627NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1876-06-27,MÜNCHEN,Mun,peCH,,orgDagbl,,"'Sthlm, Mun, Ty'","'Stockholm, München, Tyrol'",,woPG
586,B18760706GeorgII,peHI,HENRIK IBSEN,peGeorgII,GEORG 2. AV SACHSEN-MEININGEN,1876-07-06,MÜNCHEN,Mun,peEFra,,,,,,,
587,B18760707CH,peHI,HENRIK IBSEN,peCH,CHRISTIAN HAMMER,1876-07-07,MÜNCHEN,Mun,peKongO2,,,,,,,
588,B18760710NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1876-07-10,MÜNCHEN,Mun,,,,,,,,
589,B18760712ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1876-07-12,MÜNCHEN,Mun,peHJJ,,,,"'SE, Dk, D, Mun, Ty'","'Sverig, Danmark, Tyskland, München, Tyrol'",,
590,B18760715LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1876-07-15,MÜNCHEN,Mun,"'peFGran, peRWag, peHLe'",,,,"'Hel, Kri, Pas, Bayr'","'Helsingfors, Kristiania, Passau, Bayreuth'",,
591,B18760730ORK,peHI,HENRIK IBSEN,peORK,RICHARD KIERULF,1876-07-30,MÜNCHEN,Mun,"'peFGran, peKongO2, peKP, peHLe'",,,,,,,
592,B18760801GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1876-08-01,MÜNCHEN,Mun,peGBr,,,,"'Berl, Goss, Ty, Kbh'","'Berlin, Gossensass, Tyrol, København'",,
593,B18760804EGr,peHI,HENRIK IBSEN,peEGr,EDVARD GRIEG,1876-08-04,MÜNCHEN,Mun,,,,,"'Ty, Goss, Bren, Ster, Mun, Ros, Inn, Bayr'","'Tyrol, Gossensass, Brenner, Sterzing, München, Rosenheim, Innsbruck, Bayreuth'",,
594,B18760915FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1876-09-15,KALTERN,Kal,"'peGeorgII, peGBe, peJK, peEFa, peJP'",,"'orgBurg, orgKT'",,"'Mei, Berl, Wien, Schw, Dre, Mun, Kbh, It, Kbh'","'Meiningen, Berlin, Wien, Schwerin, Dresden, München, København, Italien, København'",,"'woKE, woHH, woF2, woSS, woPG'"
595,B18760917CHo,peHI,HENRIK IBSEN,peCHo,CHRISTIAN HOLST,1876-09-17,KALTERN,Kal,,,,,Ty,Tyrol,,
596,B18760918HL,peHI,HENRIK IBSEN,peHL,HARTVIG LASSEN,1876-09-18,KALTERN,Kal,peSuI,,orgChrTh,,"'Ty, Mun, Kri'","'Syd-Tyrol, München, Kristiania'",,woPG
597,B18760921JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1876-09-21,KALTERN,Kal,"'peGeorgII, peSuI, peSiI, peMT, peAxT, peTK, peHCT, peMAT'",,orgBurg,,"'Ty, Berl, Wien, Schw, Dre, Lei, Mun, D, Ost, Mei, Goss, Zur, Eu, Han'","'Tyrol, Berlin, Wien, Schwerin, Dresden, Leipzig, München, Tyskland, Østerrig, Meiningen, Gossensass, Zürich, Europa, Hannover'",,"'woHH, woKE, woF2'"
598,B18760930JBogh,peHI,HENRIK IBSEN,peJBogh,JOHAN BØGH,1876-09-30,MÜNCHEN,Mun,peAR,,orgTeatB,,"'Ty, Berg'","'Tyrol, Bergen'",,woHH
599,B18761020JBogh,peHI,HENRIK IBSEN,peJBogh,JOHAN BØGH,1876-10-20,MÜNCHEN,Mun,,,orgTeatB,,Mun,München,,"'woHH, woSS'"
600,B18761021JBogh,peHI,HENRIK IBSEN,peJBogh,JOHAN BØGH,1876-10-21,MÜNCHEN,Mun,,,,,,,,
601,B18761021FKr,peHI,HENRIK IBSEN,peFKr,FRITZ KRASTEL,1876-10-21,MÜNCHEN,Mun,peLGa,,orgBurg,,,,,woHH
602,B18761026FvD,peHI,HENRIK IBSEN,peFvD,FRANZ DINGELSTEDT,1876-10-26,MÜNCHEN,Mun,,,,,,,,
603,B18761031FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1876-10-31,MÜNCHEN,Mun,"'peGBe, peMAG'",,"'orgKT, orgGyl'",,"'Kal, Kbh'","'Kaltern, København'",,"'woHH, woPG, woBr'"
604,B18761105FvD,peHI,HENRIK IBSEN,peFvD,FRANZ DINGELSTEDT,1876-11-05,MÜNCHEN,Mun,,,orgBurg,,N plDk,"'meines, skandinavischen Vaterlandes'",,woHH
605,B18761109FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1876-11-09,MÜNCHEN,Mun,"'peMAG, peAvWo, peJP'",,,,"'D, Mun, Berg, Rom, N'","'Tyskland, München, Bergen, Rom, Norge'",,"'woBr, woF2, woHH'"
606,B18761118HL,peHI,HENRIK IBSEN,peHL,HARTVIG LASSEN,1876-11-18,MÜNCHEN,Mun,peJP,,"'orgChrTh, orgGyl'",,Rom,Rom,,
607,B18761119AvWo,peHI,HENRIK IBSEN,peAvWo,ALFRED VON WOLZOGEN,1876-11-19,MÜNCHEN,Mun,"'peAS, peEK, peCRay, peST, peIsP'",,orgKNT,,"'Schw, Ski, N, Kri, Ska, Mun, Lon, War, D, Eng, Fr, Am, Holl, Spa, Fin, It, Rom, Eg, Suez, Dre, Wis'","'Schwerin, Skien, Norwegen, Christiania, den skandinavischen Ländern, München, London, Warschau, Deutschland, England, Frankreich, Nord-Amerika, Holland, Spanien, Finnland, Italien, Rom, Aegypten, Suezkanals, Dresden, Wismar'",,"'woC1, woK1, woG1, woF1, woHH, woKK, woKE, woBr, woPG, woUF, woDi, woKG'"
608,B18761218EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1876-12-18,MÜNCHEN,Mun,,,orgKDTS,,,,"'Til, hs: , hofmarskalken herr Erik af Edholm., Stockholm., (Schweden.)'",woHH
609,B18761220BP,peHI,HENRIK IBSEN,peBP,BRYNHJOLF PROM,1876-12-20,MÜNCHEN,Mun,peSuI,,,,,,"'Herr Polythechniker Prom, aus Norwegen., Abzugeben in Café Probst., Neuhausser-Strasse., (Hier)'",
610,B18761220FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1876-12-20,MÜNCHEN,Mun,"'peRS, peJP'",,,,Rom,Rom,,woBr
611,B18761222GH,peHI,HENRIK IBSEN,peGH,GUSTAV HARTMANN,1876-12-22,MÜNCHEN,Mun,peSuI,,,,,,"'Herrn Polytechniker Hartmann, aus Norwegen., Abzugeben in Café Probst., Neuhauser-Strasse., (Hier.)'",
612,B18761224EHol,peHI,HENRIK IBSEN,peEHol,ELISE HOLCK,1876-12-24,MÜNCHEN,Mun,,,,,,,,
613,B18761224DG,peHI,HENRIK IBSEN,peDG,DIDRIK GRØNVOLD,1876-12-24,MÜNCHEN,Mun,,,,,,,,woF2
614,Budat1875-76NN_Lieber,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1875 - 1876,MÜNCHEN,Mun,,,,,,,,
615,Budat1876AvWo,peHI,HENRIK IBSEN,peAvWo,ALFRED VON WOLZOGEN,1876-12,MÜNCHEN,Mun,"'peKongO2, peJWGo, peCRay'",,,,"'SE, N, Mei, Mun'","'Schweden, Norwegen, Meiningen, München'",,"'woF2, woBr, woNo, woSa, woOL1, woKG'"
616,Budat1876-77LD,peHI,HENRIK IBSEN,peLD,LORENTZ DIETRICHSON,1876 - 1877,MÜNCHEN,Mun,peFH,,,,,,,
617,B18770103JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1877-01-03,MÜNCHEN,Mun,"'peTK, peMT, peCF, peMAT'",,orgTeatB,,"'Eu, Berg, Berl'","'Europa, Bergen, Berlin'",,
618,B18770119CEP,peHI,HENRIK IBSEN,peCEP,CARL EDWARD WILHELM PIPER,1877-01-19,MÜNCHEN,Mun,peAvK,,,,Wien,Wien,,
619,B18770204JS,peHI,HENRIK IBSEN,peJS,JOHAN SVERDRUP,1877-02-04,MÜNCHEN,Mun,"'peMvJ, peVS, peAS, peBB'",,orgStort,,"'Eu, Eng, Berl, D, SE'","'Europa, England, Berlin, Tyskland, Sverig'",,"'woKG, woKE, woUF, woBr, woHH, woF2'"
620,B18770209FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-02-09,MÜNCHEN,Mun,"'peAnL, peGB'",,,,Dk,Danmark,,"'woKK, woUF, woF2, woSS'"
621,B18770214NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1877-02-14,MÜNCHEN,Mun,pePeSi,,,,Kri,Kristiania,,
622,B18770216CC,peHI,HENRIK IBSEN,peCC,CAMILLA COLLETT,1877-02-16,MÜNCHEN,Mun,,,,,,,,
623,B18770227FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-02-27,MÜNCHEN,Mun,,,,,,,,woKK
624,B18770326ESta,peHI,HENRIK IBSEN,peESta,EMIL STANG,1877-03-26,MÜNCHEN,Mun,,,,,,,,
625,B18770330BEB,peHI,HENRIK IBSEN,peBEB,BENDIX EDVARD BENDIXEN,1877-03-30,MÜNCHEN,Mun,peSuI,,,,"'Kri, Berg'",Bergen,,"'woUF, woSS, woUF'"
626,B18770401CRN,peHI,HENRIK IBSEN,peCRN,CARL RUPERT NYBLOM,1877-04-01,MÜNCHEN,Mun,,,,,,,,
627,B18770405NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1877-04-05,MÜNCHEN,Mun,peFH,,orgDagbl,,,,,
628,B18770415PLi,peHI,HENRIK IBSEN,pePLi,PAUL LINDAU,1877-04-15,MÜNCHEN,Mun,peRB,,,,,,,
629,B18770420FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-04-20,MÜNCHEN,Mun,,,,,"'Kbh, Upp'","'København, Upsala'",,woSS
630,B18770429LD,peHI,HENRIK IBSEN,peLD,LORENTZ DIETRICHSON,1877-04-29,MÜNCHEN,Mun,"'peCRN, peEJ, peLJ, peOSch, pePHey, peMCa, peFGran, peGV, peCC, peOWe, peJKr'",,,,"'D, Ach, Rom, It, Upp'","'Tyskland, Achatz, Rom, Italien, Upsala'",,
631,B18770531CRN,peHI,HENRIK IBSEN,peCRN,CARL RUPERT NYBLOM,1877-05-31,MÜNCHEN,Mun,peKongO2,,"'orgUiUpp, orgNTB, orgKNT, orgChrTh'",,"'Upp, Ski, N, Dk, D, It, Dre, Sthlm, Suez, Eg, Fr, Wien, Kri, Mun'","'Upsala, Skien, Norge, Danmark, Tyskland, Italien, Dresden, Stockholm, Suez-kanalens, Egypten, Frankrig, Wien, Kristiania, München'",,"'woC1, woK1, woG1, woF1, woHH, woKK, woKE, woBr, woPG, woUF, woDi, woKG'"
632,B18770608KWa,peHI,HENRIK IBSEN,peKWa,KARL WARBURG,1877-06-08,MÜNCHEN,Mun,,,,,,,,
633,Budat18770616FHag,peHI,HENRIK IBSEN,peFHag,FRANCIS HAGERUP,1877-06-16,[MÜNCHEN],Mun,peGB,,,,,,,
634,B18770617FB,peHI,HENRIK IBSEN,peFB,FREDERIK BÆTZMANN,1877-06-17,MÜNCHEN,Mun,"'peJV, peJP'",,orgDagbl,,,,,
635,B18770620BEB,peHI,HENRIK IBSEN,peBEB,BENDIX EDVARD BENDIXEN,1877-06-20,MÜNCHEN,Mun,"'peNRo, peEGr, peSuI'",,orgNatSc,,Kri,Kristiania,,"'woBr, woOL1, woOL3'"
636,B18770624FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-06-24,MÜNCHEN,Mun,peGB,,orgKDTS,,,,,woSS
637,B18770624ChrTh,peHI,HENRIK IBSEN,orgChrTh,CHRISTIANIA THEATER,1877-06-24,MÜNCHEN,Mun,,,orgChrTh,,,,,woBr
638,B18770704FR,peHI,HENRIK IBSEN,peFR,FREDERIK RODE,1877-07-04,[MÜNCHEN],Mun,peSuI,,,,,,,
639,B18770729FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-07-29,MÜNCHEN,Mun,"'peAuLa, peSuI, peSiI'",,,,N,Norge,,woSS
640,B18770805NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1877-08-05,MÜNCHEN,Mun,"'peSuI, peSiI'",,,,"'Berg, Upp'","'Bergen, Upsala'",,
641,B18770806FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-08-06,MÜNCHEN,Mun,,,,,"'Dk, SE, N'","'Danmark, Sverig, Norge'",,woSS
642,B18770811ORK,peHI,HENRIK IBSEN,peORK,RICHARD KIERULF,1877-08-11,MÜNCHEN,Mun,peKongO2,,,,,,,
643,B18770811KongO2,peHI,HENRIK IBSEN,peKongO2,KONG OSCAR 2.,1877-08-11,MÜNCHEN,Mun,peGeorgII,,,,,,,
644,B18770814FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-08-14,MÜNCHEN,Mun,"'peSuI, peAuLa'",,,,"'Berg, Kbh, Ste'","'Bergen, København, Stettin'",,woSS
645,B18770819FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-08-19,MÜNCHEN,Mun,,,,,Kbh,København,,woSS
646,B18770820FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-08-20,MÜNCHEN,Mun,,,,,,,,woSS
647,B18770821SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1877-08-21,MÜNCHEN,Mun,"'peSiI, peEVu, peMG, peDG'",,,,"'Ste, Berg, SE'","'Stettin, Bergen, Sverig'",,woSS
648,B18770821SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1877-08-21,MÜNCHEN,Mun,peJP,,,,"'Ham, Berg'","'Hamburg, Bergen'",,woUF
649,B18770823FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-08-23,MÜNCHEN,Mun,"'peJV, peBB'",,"'orgKT, orgGotT, orgNatSc, orgChrTh'",,"'Sthlm, Upp'","'Stockholm, Upsala-rejse'",,woSS
650,B18770824KT,peHI,HENRIK IBSEN,orgKT,DET KONGELIGE THEATER I KØBENHAVN,1877-08-24,MÜNCHEN,Mun,,,orgKT,,,,,woSS
651,B18770903MG,peHI,HENRIK IBSEN,peMG,MARCUS GRØNVOLD,1877-09-03,STOCKHOLM,Sthlm,"'peCJ, peAS, peFH'",,,,"'D, Kbh, Upp, Mun'","'Tyskland, Kbhvn, Upsala-toget, München'",,woUF
652,B18770904FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-09-04,STOCKHOLM,Sthlm,peEK,,"'orgKDTS, orgKDTS'",,"'Mun, Upp'",Upsala,,woSS
653,B18770907EF,peHI,HENRIK IBSEN,peEF,EDVARD FALLESEN,1877-09-07,UPPSALA,Upp,,,,,,,,
654,B18770912FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-09-12,STOCKHOLM,Sthlm,peKongO2,,,,Kbh,København,,woSS
655,B18770912SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1877-09-12,STOCKHOLM,Sthlm,"'peSiI, peKongO2'",,,,"'Upp, SE, Kbh, Mun'","'Upsala, Sverig, København, München'",,woHH
656,B18770912SiI,peHI,HENRIK IBSEN,peSiI,SIGURD IBSEN,1877-09-12,STOCKHOLM,Sthlm,"'peSuI, peANS'",,,,"'Upp, Kbh'","'Upsala, København'",,woSS
657,B18770920BEB,peHI,HENRIK IBSEN,peBEB,BENDIX EDVARD BENDIXEN,1877-09-20,MÜNCHEN,Mun,,,orgNatSc,,,,,woSS
658,B18770920KongO2,peHI,HENRIK IBSEN,peKongO2,KONG OSCAR 2.,1877-09-20,MÜNCHEN,Mun,,,,,,,,woSS
659,B18770921FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-09-21,MÜNCHEN,Mun,"'peKongO2, peBEB'",,"'orgGotT, orgTeatB'",,"'Kbh, Kri'","'København, Kristiania'",,woSS
660,B18770923SuI,peHI,HENRIK IBSEN,peSuI,SUSANNA IBSEN,1877-09-23,MÜNCHEN,Mun,"'peAuLa, peFH, peMG, peEK'",,,,"'Ham, Ste, Ste, Berl, Mun, Kbh, Lub, SE, Upp'","'Hamburg, Stettin, Stettin, Berlin, München, København, Lübeck, Sverig, Upsala'",,woSS
661,B18770925EK,peHI,HENRIK IBSEN,peEK,EMMA KLINGENFELD,1877-09-25,MÜNCHEN,Mun,peTA,,,,,,,woSS
662,B18770930EA,peHI,HENRIK IBSEN,peEA,ELISE AUBERT,1877-09-30,MÜNCHEN,Mun,peLMBA,,,,Sthlm,Stockholm,"'Fru Elise Aubert., Ullevoldsvejen 16 C., Kristiania.'",woSS
663,B18770930JLH,peHI,HENRIK IBSEN,peJLH,JOHANNE LUISE HEIBERG,1877-09-30,MÜNCHEN,Mun,,,,,Kbh,København,,woSS
664,B18771001FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-10-01,MÜNCHEN,Mun,"'peJLH, peMT, peSuI, peSiI'",,orgGotT,,,,,woSS
665,B18771003NL,peHI,HENRIK IBSEN,peNL,NILS LUND,1877-10-03,MÜNCHEN,Mun,peMLu,,orgDagbl,,,,,woSS
666,B18771004EF,peHI,HENRIK IBSEN,peEF,EDVARD FALLESEN,1877-10-04,MÜNCHEN,Mun,,,,,,,,
667,B18771005EF,peHI,HENRIK IBSEN,peEF,EDVARD FALLESEN,1877-10-05,MÜNCHEN,Mun,peFH,,orgKT,,"'Kbh, SE, N, Fin, Am, Dk'","'København, Sverig, Norge, Finland, Amerika, Danmark'",,woSS
668,B18771010FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-10-10,MÜNCHEN,Mun,"'peEF, peGG, peCKFM, peGSche, peGB'",,"'orgGotT, orgKT, orgFadrel, orgStud'",,,,,woSS
669,B18771010JK,peHI,HENRIK IBSEN,peJK,JOHANNE KREBS,1877-10-10,MÜNCHEN,Mun,"'peCC, peSuI, peSiI'",,,,"'Dk, Od'","'Danmark, Odense'",,woSS
670,B18771010Stud,peHI,HENRIK IBSEN,orgStud,DET NORSKE STUDENTERSAMFUND,1877-10-10,MÜNCHEN,Mun,,,,,,,,woSS
671,B18771010JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1877-10-10,MÜNCHEN,Mun,"'peSuI, peSiI, peMAT'",,,,"'SE, Dk, N, Berg, Kbh, Pa, Mun'","'Sverig, Danmark, Norge, Bergens, København, Paris, München'",,woSS
672,B18771011CKFM,peHI,HENRIK IBSEN,peCKFM,CHRISTIAN KNUD FREDERIK MOLBECH,1877-10-11,MÜNCHEN,Mun,"'peEF, peFH, peBB'",,orgKT,,"'Kbh, D, Rom'","'København, Tyskland, Rom'",,"'woSS, woBr'"
673,B18771028FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1877-10-28,MÜNCHEN,Mun,"'peCKFM, peBB, peGB, peGG'",,"'orgKT, orgGotT'",,Got,Göteborg,,woSS
674,B18771028BB,peHI,HENRIK IBSEN,peBB,BJØRNSTJERNE BJØRNSON,1877-10-28,MÜNCHEN,Mun,"'peGB, peKBj'",,,,,,,woSS
