Letter_ID,Sender_ID,Sender_Name,Recipient_ID,Recipient_Name,Date,Dispatch_Location,Dispatch_Location_Abbr,GeoName_ID,toponymName,Country,Latitude,Longitude,Recipient_Adress,Recipient_Location,Recipient_Location_Abbr,Recipient_Addr_Latitude,Recipient_Addr_Longitude,Mentioned_Person_ID,Mentioned_Persons,Mentioned_Org_ID,Mentioned_Org,Mentioned_Works_IDs,Mention_Works_Title,Text_ID,Mention_Works_Genre,Collective_Vesions_ID,Mentioned_Places,Mentioned_Places_Abbr
B18741201ChrTh,peHI,HENRIK IBSEN,orgChrTh,CHRISTIANIA THEATER,1874-12-01,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peLG,LAURA SOFIE COUCHERON GUNDERSEN,,,"woF2, woPG","Fru Inger til Østråt, Peer Gynt","F2, PG","drama, drama",F,Kristiania,Kri
B18741201EaE,peHI,HENRIK IBSEN,peEaE,ERIK AF EDHOLM,1874-12-01,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,orgKDTS,KONGL. DRAMATISKA THEATERN,woF2,Fru Inger til Østråt,F2,drama,F,,
B18741202FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-12-01,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"pePFSt, peOS, peRSch, peJHT","PETER FREDERIK STEENSBALLE, OLE CARELIUS SCHULERUD, RIKKA (Ulrikke Cathrine) ZEIER, JOHAN HERMAN THORESEN",,,"woF2, woDi, woC1, woPG","Fru Inger til Østråt, Digte, Catilina, Peer Gynt","F2, Di, C1, PG","drama, dikt, drama, drama","F, C",Kristiania,Kri
B18741230FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1874-12-30,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peAuLa,AUGUST GOTTLIEB LARSEN,,,"woF2, woKG, woC2","Fru Inger til Østråt, Kejser og Galilæer, Catilina","F2, KG, C2","drama, drama, drama","F, C","københavnske, Kristiania","Kbh, Kri"
Budat187412EBr,peHI,HENRIK IBSEN,peEBr,EDVARD BRANDES,1874-12,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,,,,,,Suez,Suez
Budat187412LDa,peHI,HENRIK IBSEN,peLDa,LUDVIG LUDVIGSEN DAAE,1874-12,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,woF2,Fru Inger til Østråt,F2,drama,F,Norge,N
Budat1874-75NN_Hvis_De,peHI,HENRIK IBSEN,peNN,UKJENT MOTTAGER,1874-11 - 1875-01,[Dresden],Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,,,,,,,
B18750104LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1875-01-04,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peFH, peOJB, peLG, peJRJ, peARei, peJFB, peJSel, peSG, pePNi, peHeKl, peHBru, peHFHa","NIELS FREDERIK VILHELM HEGEL, OLE JOHAN SAMUEL BUCHER, LAURA SOFIE COUCHERON GUNDERSEN, JOHANNE REGINE JUELL (senere: JUELL REIMERS), HIERONYMUS ARNOLDUS REIMERS, JOHANNES FINNE BRUN, JENS ANDREAS LUDVIG SELMER, SIGVARD EMIL GUNDERSEN, PETER (Jean Pierre Louis/Johan Peter Ludvig) NIELSEN, HENRIK KRISTEN JOHAN KLAUSEN (Clausen), HANS SALVESEN BRUN, ABRAHAM CHRISTIAN HJALMAR FRITHJOF HAMMER",orgChrTh,CHRISTIANIA THEATER,woF2,Fru Inger til Østråt,F2,drama,F,"Kristiania, København","Kri, Kbh"
B18750104LG,peHI,HENRIK IBSEN,peLG,LAURA GUNDERSEN,1875-01-04,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,,,,,,,
Budat18750104SG,peHI,HENRIK IBSEN,peSG,SIGVARD GUNDERSEN,1875-01-04,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peLG,LAURA SOFIE COUCHERON GUNDERSEN,,,"woKE, woKK","Kongs-Emnerne, Kjærlighedens Komedie","KE, KK","drama, drama",,Dresden,Dre
B18750127FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-01-27,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"pePFSt, peAuLa","PETER FREDERIK STEENSBALLE, AUGUST GOTTLIEB LARSEN",,,woC2,Catilina,C2,drama,C,,
B18750128FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-01-28,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,pePFSt,PETER FREDERIK STEENSBALLE,,,woC2,Catilina,C2,drama,C,Norge,N
B18750130GB,peHI,HENRIK IBSEN,peGB,GEORG BRANDES,1875-01-30,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peEBr, peJES, peOSk, peFB, peFH, peHLMa, peDFS","CARL EDVARD COHEN BRANDES, JOHAN ERNST WELHAVEN SARS, OLAF (Ole) SKAVLAN, SAMUEL FREDERIK BÆTZMANN, NIELS FREDERIK VILHELM HEGEL, HANS LASSEN MARTENSEN, DAVID FRIEDRICH STRAUSS",,,"[woLB], [woEt_Ri], woKG","[«Langt borte»], [«Et rimbrev»], Kejser og Galilæer","[DiLangtBorte], [DiEtRimbrev], KG","[dikt], [dikt], drama",,"Tyskland, Baden, Hessen-Kassel, Danmark, Kristiania, Sverig, København, Tyskland, Norge, Europa, München","D, Bad, Hes, Dk, Kri, SE, Kbh, D, N, Eu, Mun"
Budat1874-75MG,peHI,HENRIK IBSEN,peMG,MARCUS GRØNVOLD,1874-11 - 1875-01,[Dresden],Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,,,,,,,
B18750204LDa,peHI,HENRIK IBSEN,peLDa,LUDVIG LUDVIGSEN DAAE,1875-02-04,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peSvSi, peJHT, peSiI","SVERRE SIGURDSSON, JOHAN HERMAN THORESEN, SIGURD IBSEN",,,woC1,Catilina,C1,drama,C,"Dresden, München, Italien, Tyskland","Dre, Mun, It, D"
B18750207LJ,peHI,HENRIK IBSEN,peLJ,LUDVIG JOSEPHSON,1875-02-07,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peTK, peSuI","THOMAS KRAGH THORESEN, SUSANNA/SUZANNAH IBSEN","'orgChrTh, orgGyl'","CHRISTIANIA THEATER, DEN GYLDENDALSKE BOGHANDEL","woF2, woC2","Fru Inger til Østråt, Catilina","F2, C2","drama, drama","F, C","København, München, Tyrol","Kbh, Mun, Ty"
B18750214JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-02-14,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peMTh, peWaL, peTK, peMT, peSuI, peHJJ, peFH, peNL, peSiI, peDFa","MARIE SOPHIE THORESEN, VALDEMAR LUDVIGSEN, THOMAS KRAGH THORESEN, ANNA MAGDALENE THORESEN, SUSANNA/SUZANNAH IBSEN, HANS JACOB JENSEN, NIELS FREDERIK VILHELM HEGEL, NILS LUND, SIGURD IBSEN, DOROTHEA ELISABETH FALSEN","'orgGyl, orgIN'","DEN GYLDENDALSKE BOGHANDEL, ILLUSTRERET NYHEDSBLAD","woKK, woKE, woHH, woF1, woF2, woPG, woC2","Kjærlighedens Komedie, Kongs-Emnerne, Hærmændene paa Helgeland, Fru Inger til Østeraad, Fru Inger til Østråt, Peer Gynt, Catilina","KK, KE, H1, F1, F2, PG, C2","drama, drama, drama, drama, drama, drama, drama","HH, F, C","Norge, Rom, München, Tyrol, Gudbrandsdalen, Thelemarken","N, Rom, Mun, Ty, Gud, Tel"
B18750220FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-02-20,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peGBe, peJHT, peNL","FREUND JAKOB GOTTLOB BERNER, JOHAN HERMAN THORESEN, NILS LUND",orgKT,DET KONGELIGE THEATER I KØBENHAVN,"woHH, woSS, woC2, woPG","Hærmændene paa Helgeland, Samfundets støtter, Catilina, Peer Gynt","H1, SS, C2, PG","drama, drama, drama, drama","HH, C","Kristiania, Dresden, München, Tyskland","Kri, Dre, Mun, D"
Budat18750224CRi,peHI,HENRIK IBSEN,peCRi,CHRISTIAN VILHELM RIMESTAD,1875-02-24,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,orgNat,NATIONALTIDENDE,,,,,,,
B18750224DT,peHI,HENRIK IBSEN,orgDT,DAGS-TELEGRAPHEN,1875-02-24,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,woHH,"Hærmændene paa Helgeland, Hærmændene på Helgeland","H1, ","drama, drama",HH,,
B18750226DCD,peHI,HENRIK IBSEN,peDCD,DANIEL CORNELIUS DANIELSSEN,1875-02-26,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peIvAa,IVAR ANDREAS AASEN,orgKdep,"KIRKE- OG UNDERVISNINGSDEPARTEMENTET, eller: DEPARTEMENTET FOR KIRKE- OG UNDERVISNINGSVESENET, gjerne forkortet: KIRKEDEPARTEMENTET",,,,,,,
B18750227TRH,peHI,HENRIK IBSEN,peTRH,THOMAS HESSELBERG,1875-02-27,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peKvP,KARL THEODOR VON PILOTY,,,,,,,,"München, München","Mun, Mun"
B18750303JV,peHI,HENRIK IBSEN,peJV,JOHAN VIBE,1875-03-03,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,,,,,,"Kristiania, Kjøbenhavn","Kri, Kbh"
B18750303EGr,peHI,HENRIK IBSEN,peEGr,EDVARD GRIEG,1875-03-03,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peNG,NINA GRIEG,orgChrTh,CHRISTIANIA THEATER,woPG,Peer Gynt,PG,drama,,"München, Leipzig, Dresden","Mun, Lei, Dre"
B18750310FH,peHI,HENRIK IBSEN,peFH,FREDERIK HEGEL,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,"peEaE, peAuLa","ERIK WILHELM AF EDHOLM, AUGUST GOTTLIEB LARSEN",,,woC2,Catilina,C2,drama,C,,
B18750310JHT,peHI,HENRIK IBSEN,peJHT,JOHAN HERMAN THORESEN,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,woC2,Catilina,C2,drama,C,,
B18750310MB,peHI,HENRIK IBSEN,peMB,MICHAEL BIRKELAND,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,peMBi,MARIE BIRKELAND,orgKdep,"KIRKE- OG UNDERVISNINGSDEPARTEMENTET, eller: DEPARTEMENTET FOR KIRKE- OG UNDERVISNINGSVESENET, gjerne forkortet: KIRKEDEPARTEMENTET",woC2,Catilina,C2,drama,C,,
B18750310LDa,peHI,HENRIK IBSEN,peLDa,LUDVIG LUDVIGSEN DAAE,1875-03-10,Dresden,Dre,2935022,Dresden,Germany,51.05089,13.73832,,,,,,,,,,woC2,Catilina,C2,drama,C,,
